Start,End,sacdur,delay,PeakVel,sacLen,Ampl,subject_id,trial,nth,fixation_duration,sticky,blinkSac,blinkFix,first_t,forced_fix,mask_shown,forced_end,VT,image_name,x,y
4421.0,4438.0,17.0,6.0,268.955534171307,3.02532200227613,3.03244551321913,2,131,13,307.0,0,False,False,5982597,0,0,175,val,0724.jpg,622.6950142300004,583.1116346486783
4745.0,4773.0,28.0,4.0,327.137208181597,5.94217004959296,5.9635718514545,2,131,14,932.0,0,False,False,5982597,0,0,175,val,0724.jpg,272.591422925675,611.2013756788164
5705.0,5739.0,34.0,4.0,284.052149423919,5.80797327892917,5.81904131308438,2,131,15,665.0,0,False,False,5982597,0,0,175,val,0724.jpg,530.0529385489876,954.5456786970282
6404.0,6433.0,29.0,1.0,359.170312166831,5.60648032873032,5.60992124662977,2,131,16,910.0,0,False,False,5982597,0,0,175,val,0724.jpg,225.4909397587581,1120.1522928601971
7343.0,7405.0,62.0,4.0,397.652607041514,14.4805935228425,14.5432715170252,2,131,17,261.0,0,False,False,5982597,0,0,175,val,0724.jpg,928.5456887501708,582.2175006828841
7666.0,7679.0,13.0,6.0,324.984737221719,2.63121041608833,2.63121041608833,2,131,18,342.0,0,False,False,5982597,0,0,175,val,0724.jpg,1092.6328404816322,521.704083671794
8021.0,8050.0,29.0,4.0,242.282085117412,2.19983343784686,2.27839155217027,2,131,19,133.0,1,False,False,5982597,0,0,175,val,0724.jpg,1220.8629780216295,581.6307340309892
,,,,,,,2,137,1,348.0,0,False,False,6069676,1,0,175,val,0920.jpg,981.8485856665966,616.6814960874855
349.0,362.0,13.0,9.0,261.256742199379,2.08947289821513,2.10220437894821,2,137,2,216.0,0,False,False,6069676,0,0,175,val,0920.jpg,948.0947067694647,785.9573398557471
578.0,600.0,22.0,5.0,347.509907177622,4.04482674150699,4.06658979145182,2,137,3,202.0,0,False,False,6069676,0,0,175,val,0920.jpg,1008.8215527329589,1079.0832820781916
802.0,809.0,7.0,3.0,122.955626610758,0.562158425336596,0.571333928975685,2,137,4,625.0,0,False,False,6069676,0,0,175,val,0920.jpg,961.3199080088275,1131.4801947407393
1434.0,1469.0,35.0,1.0,445.330582196358,8.6052432992334,8.61737842921461,2,137,5,254.0,0,False,False,6069676,0,0,175,val,0920.jpg,1470.413346312693,898.892504535593
1723.0,1740.0,17.0,7.0,221.784117427186,2.52431579072502,2.5591083184857,2,137,6,213.0,0,False,False,6069676,0,0,175,val,0920.jpg,1679.91163542071,893.8225891966432
1953.0,1970.0,17.0,8.0,283.204405006737,3.09917314619601,3.10640969809206,2,137,7,214.0,0,False,False,6069676,0,0,175,val,0920.jpg,1455.4954362641822,954.037753312367
2184.0,2191.0,7.0,4.0,135.93766502409,0.846110742752315,0.853342753787288,2,137,8,369.0,0,False,False,6069676,0,0,175,val,0920.jpg,1404.3128967696787,939.9602772368073
2560.0,2582.0,22.0,9.0,336.097505896681,4.35546716062481,4.36869220879543,2,137,9,309.0,0,False,False,6069676,0,0,175,val,0920.jpg,1181.1828479529404,685.2949719107628
2891.0,2914.0,23.0,4.0,323.527632445655,3.98746609864139,4.04397349233043,2,137,10,498.0,0,False,False,6069676,0,0,175,val,0920.jpg,956.9106957766637,734.724790183344
3412.0,3458.0,46.0,5.0,404.522597437954,10.4065040159223,10.4668945964433,2,137,11,272.0,0,False,False,6069676,0,0,175,val,0920.jpg,329.6598322432863,908.5838885460487
3730.0,3773.0,43.0,13.0,535.165836123244,11.2565672310532,11.4041122305217,2,137,12,305.0,0,False,False,6069676,0,0,175,val,0920.jpg,343.17106929055205,153.1298956965564
4078.0,4116.0,38.0,3.0,472.358725751291,11.2240138552278,11.2507242543759,2,137,13,733.0,0,False,False,6069676,0,0,175,val,0920.jpg,839.6277247734471,695.545926570579
4849.0,4906.0,57.0,2.0,451.864790752324,15.2886260770681,15.3238255338336,2,137,14,214.0,0,False,False,6069676,0,0,175,val,0920.jpg,1782.4191563987815,876.4218589517859
5120.0,5129.0,9.0,7.0,151.703409213398,0.878240607532548,0.896023038404985,2,137,15,275.0,0,False,False,6069676,0,0,175,val,0920.jpg,1852.9000189954577,922.9855235550164
5404.0,5439.0,35.0,3.0,429.872886030686,7.90830616886705,7.9864551544809,2,137,16,325.0,0,False,False,6069676,0,0,175,val,0920.jpg,1619.5792512022422,440.87957611860566
5764.0,5795.0,31.0,14.0,402.088342145835,7.32352315031344,7.33209236334129,2,137,17,432.0,0,False,False,6069676,0,0,175,val,0920.jpg,1180.2209934134419,771.4727830214644
6227.0,6238.0,11.0,6.0,221.888219623773,1.40028955128491,1.4112902453552,2,137,18,260.0,0,False,False,6069676,0,0,175,val,0920.jpg,1166.1529236283932,956.2952641446005
6498.0,6533.0,35.0,5.0,286.534165418513,4.82492716449511,4.83298494167125,2,137,19,259.0,0,False,False,6069676,0,0,175,val,0920.jpg,1478.3409275041622,961.6857479526526
6792.0,6802.0,10.0,6.0,160.504837548829,1.01986706282856,1.02317391583262,2,137,20,249.0,0,False,False,6069676,0,0,175,val,0920.jpg,1548.4991504112718,943.4860954905519
7051.0,7063.0,12.0,22.0,234.1263306143,1.97897571147038,1.98771771173464,2,137,21,445.0,0,False,False,6069676,0,0,175,val,0920.jpg,1810.6034326545976,906.2171184692571
7508.0,7524.0,16.0,12.0,191.693849637211,1.79797032383726,1.79797032383726,2,137,22,659.0,0,False,False,6069676,0,0,175,val,0920.jpg,1723.7654026312089,1021.0455416408556
,,,,,,,2,152,1,451.0,0,False,False,6391274,1,0,175,val,0709.jpg,946.0414458185487,566.7682732681313
452.0,463.0,11.0,12.0,164.698451913193,1.13994987350429,1.14467606884053,2,152,2,252.0,0,False,False,6391274,0,0,175,val,0709.jpg,953.0032102801979,721.1564176356896
715.0,721.0,6.0,12.0,148.200513491556,0.744084981756085,0.751039073511947,2,152,3,172.0,0,False,False,6391274,0,0,175,val,0709.jpg,953.403948702485,868.5410458000401
893.0,903.0,10.0,3.0,113.036757662694,0.802381582536306,0.810797162135453,2,152,4,915.0,0,False,False,6391274,0,0,175,val,0709.jpg,909.7872352723779,1001.3680741045621
1818.0,1860.0,42.0,6.0,485.833500177908,12.8740780857957,12.9049111158312,2,152,5,706.0,0,False,False,6391274,0,0,175,val,0709.jpg,1631.511179446337,702.157168830928
2566.0,2580.0,14.0,4.0,203.360047012034,1.61356862150889,1.67522024443146,2,152,6,406.0,0,False,False,6391274,0,0,175,val,0709.jpg,1626.622848913631,602.1996972566953
2986.0,3006.0,20.0,12.0,277.347742783286,3.81917019750312,3.82217823396069,2,152,7,290.0,0,False,False,6391274,0,0,175,val,0709.jpg,1879.7262397537936,737.0801048588971
3296.0,3330.0,34.0,2.0,472.049895066641,9.1604416984464,9.1783996951422,2,152,8,281.0,0,False,False,6391274,0,0,175,val,0709.jpg,1338.2948844918028,555.9594023311672
3611.0,3645.0,34.0,3.0,464.005618611388,8.92557932873354,8.95115732011343,2,152,9,246.0,0,False,False,6391274,0,0,175,val,0709.jpg,808.6514299911569,440.71234756354346
3891.0,3929.0,38.0,5.0,370.444931746185,9.01486435594523,9.06889198988049,2,152,10,359.0,0,False,False,6391274,0,0,175,val,0709.jpg,268.50969289556616,477.1228023360869
4288.0,4298.0,10.0,4.0,231.634695465361,1.45035134498395,1.45669019886367,2,152,11,676.0,0,False,False,6391274,0,0,175,val,0709.jpg,139.26004831922268,628.0911565798
4974.0,4991.0,17.0,7.0,271.364354952323,3.13933727302714,3.14314365513623,2,152,12,300.0,0,False,False,6391274,0,0,175,val,0709.jpg,330.10278056475295,781.9145705340324
5291.0,5311.0,20.0,13.0,164.000820292815,2.1006375627383,2.15420375843077,2,152,13,194.0,0,False,False,6391274,0,0,175,val,0709.jpg,263.19882393048147,911.5707765352023
5505.0,5570.0,65.0,7.0,500.843047253521,11.0425254399155,11.6586808837352,2,152,14,228.0,1,False,False,6391274,0,0,175,val,0709.jpg,665.2846382135384,330.8723155289842
5798.0,5812.0,14.0,4.0,258.963561815759,2.44574789237765,2.49163819285847,2,152,15,231.0,0,False,False,6391274,0,0,175,val,0709.jpg,506.8882168108094,339.7228307948169
6043.0,6054.0,11.0,3.0,200.13023560545,1.53174487925051,1.55091149757903,2,152,16,321.0,0,False,False,6391274,0,0,175,val,0709.jpg,588.7633069701963,367.28235589568385
6375.0,6390.0,15.0,13.0,226.498286309198,2.13357938670028,2.15025310037646,2,152,17,199.0,0,False,False,6391274,0,0,175,val,0709.jpg,708.4737461931012,510.8484989771529
6589.0,6627.0,38.0,1.0,349.594907835669,7.855216755602,7.89261222950006,2,152,18,314.0,0,False,False,6391274,0,0,175,val,0709.jpg,255.03646393964885,477.4016785948551
6941.0,6956.0,15.0,5.0,202.904555525541,1.89021885389622,1.89421610891603,2,152,19,497.0,0,False,False,6391274,0,0,175,val,0709.jpg,154.3401741939024,546.4371733257105
7453.0,7489.0,36.0,13.0,427.880698376308,9.19312426992595,9.22491726302382,2,152,20,244.0,0,False,False,6391274,0,0,175,val,0709.jpg,788.9321806773755,546.2696422345615
7733.0,7781.0,48.0,7.0,431.462899945942,11.4511344445998,11.4702630666591,2,152,21,184.0,0,False,False,6391274,0,0,175,val,0709.jpg,1481.3276636312835,549.7879070003202
7965.0,7993.0,28.0,8.0,241.588519872237,3.91235095828035,3.95133492556633,2,152,22,190.0,1,False,False,6391274,0,0,175,val,0709.jpg,1714.5546441371644,662.057431016957
,,,,,,,2,156,1,415.0,0,False,False,6438368,1,0,166,val,0475.jpg,946.992935281221,583.0836927179652
416.0,452.0,36.0,5.0,325.575057328889,6.09760063263153,6.12410513559947,2,156,2,262.0,0,False,False,6438368,0,0,166,val,0475.jpg,614.0049507701603,772.539283577956
714.0,744.0,30.0,2.0,348.914176686805,6.16454476964981,6.20833534943043,2,156,3,340.0,0,False,False,6438368,0,0,166,val,0475.jpg,264.8215540605464,737.4726710140437
1084.0,1098.0,14.0,8.0,212.086393798402,1.97604463768139,1.97801024158247,2,156,4,273.0,0,False,False,6438368,0,0,166,val,0475.jpg,237.90285830494332,879.2368878245975
1371.0,1409.0,38.0,3.0,413.680291419024,9.96269401381365,9.97622030752924,2,156,5,165.0,0,False,False,6438368,0,0,166,val,0475.jpg,827.2878629635654,913.3743157844494
1574.0,1616.0,42.0,13.0,448.841045734916,11.636560127458,11.6640305557334,2,156,6,435.0,0,False,False,6438368,0,0,166,val,0475.jpg,1597.6383978821932,882.5589300611371
2051.0,2075.0,24.0,8.0,385.850827368717,5.47125022156953,5.47662970113207,2,156,7,330.0,0,False,False,6438368,0,0,166,val,0475.jpg,1822.7534229873843,550.793168763203
2405.0,2443.0,38.0,2.0,457.321382376501,10.1653599549075,10.1693946081509,2,156,8,475.0,0,False,False,6438368,0,0,166,val,0475.jpg,1197.2883049226289,485.01550076547386
2918.0,2938.0,20.0,7.0,365.224454125502,3.63663263847125,3.65437841414192,2,156,9,264.0,0,False,False,6438368,0,0,166,val,0475.jpg,1375.6847263189306,354.9768472391755
